,0,1,2,3,4
0,0.41062444,0.45550212,0.34722647,0.39785394,0.37579387
1,0.58490914,0.61594534,0.6138927,0.6779159,0.7801986
2,0.31069657,0.2593756,0.17353447,0.10705137,0.25442553
3,0.315672,0.2746618,0.18904805,0.20991184,0.2014387
4,0.48423338,0.48646885,0.4785111,0.3736821,0.40368366
5,0.26328236,0.22253647,0.26387805,0.20222357,0.19673936
6,0.31703946,0.43517688,0.47569337,0.44794315,0.44563296
7,0.4054829,0.31220326,0.34587356,0.36358127,0.30963504
8,0.24524818,0.32563266,0.32945454,0.21567334,0.2002854
9,0.35664046,0.3643043,0.32554513,0.3031451,0.262218
