,0,1,2,3,4
0,0.24791838,0.3059458,0.329836,0.28645587,0.30979484
1,0.2324485,0.24399076,0.22993454,0.17500651,0.18079832
2,0.27348927,0.2700646,0.29702845,0.13426222,0.2322862
3,0.29275256,0.28989935,0.32934448,0.27270216,0.22653493
4,0.29247284,0.29846865,0.2912498,0.21249002,0.24488762
5,0.5253855,0.5200316,0.47997802,0.61047107,0.5810223
6,0.13535081,0.22638878,0.29060903,0.22821221,0.22937284
7,0.3308469,0.28671107,0.32802725,0.26526096,0.33242765
8,0.6086308,0.60013795,0.4785022,0.3218781,0.26658207
9,0.30879042,0.46868092,0.51762986,0.43663934,0.41646886
