,0,1,2,3,4
0,0.26648095,0.33293366,0.25603268,0.25641873,0.28876132
1,0.28794402,0.33998019,0.27481982,0.2673477,0.28453317
2,0.33373246,0.27009207,0.28501162,0.08850713,0.16623515
3,0.31880987,0.26084837,0.24088313,0.21229292,0.15779373
4,0.34524742,0.32407707,0.25851348,0.17359762,0.18066637
5,0.47486886,0.38084993,0.43912196,0.25033715,0.26946318
6,0.20064884,0.28150374,0.3509486,0.2912305,0.2703434
7,0.37351334,0.3570143,0.32402444,0.3128716,0.26483116
8,0.4841121,0.4465574,0.39047366,0.6290639,0.35365003
9,0.35664696,0.3812508,0.4379575,0.40769002,0.42622808
