,0,1,2,3,4
0,0.3520152,0.37382016,0.39223966,0.38000494,0.37134296
1,0.3787735,0.40252322,0.37999415,0.32085684,0.3504911
2,0.58413875,0.605421,0.54689324,0.42259338,0.5125414
3,0.711995,0.7355634,0.6321926,0.65067333,0.6472533
4,0.54301846,0.5521585,0.56655335,0.48594904,0.5045646
5,0.31318069,0.2748954,0.28915504,0.23758167,0.24795994
6,0.21423791,0.3813708,0.46612996,0.361894,0.36434257
7,0.46019706,0.41764164,0.4382043,0.3976396,0.37641677
8,0.2954651,0.36769417,0.38341826,0.24430297,0.24292257
9,0.27635077,0.30076605,0.33581296,0.22633894,0.23720022
