,0,1,2,3,4
0,0.78164846,0.7823369,0.7723455,0.7795803,0.77774847
1,0.79050994,0.77807504,0.7874164,0.7631357,0.7630463
2,0.75716746,0.76962197,0.7379961,0.7309477,0.72162557
3,0.7503563,0.7595667,0.7171356,0.7459215,0.7185485
4,0.76226294,0.78043914,0.7265835,0.73663276,0.7345825
5,0.80196786,0.79538864,0.79565364,0.77377325,0.78327096
6,0.6988214,0.71246874,0.7431843,0.72346365,0.70493853
7,0.74533546,0.73710257,0.72970396,0.72130567,0.74541473
8,0.8072638,0.8119247,0.7347151,0.7672702,0.7774512
9,0.8819419,0.8694125,0.8203646,0.8686803,0.88430744
