,0,1,2,3,4
0,0.83215106,0.85690355,0.8452504,0.87193215,0.85497445
1,0.8561181,0.8578493,0.8483176,0.8226455,0.8145899
2,0.8770123,0.86647016,0.83564913,0.79755026,0.8172455
3,0.89606327,0.8849404,0.8680433,0.87283134,0.86798817
4,0.8778279,0.871489,0.86300266,0.8212922,0.81748223
5,0.7892482,0.7960739,0.7938166,0.7701934,0.77120906
6,0.74846894,0.7952741,0.84267384,0.78088045,0.77306396
7,0.8099054,0.80877554,0.8296919,0.820047,0.81312
8,0.78990966,0.8148433,0.80994856,0.7867425,0.7732
9,0.7965059,0.7936677,0.803335,0.76170886,0.7707534
