,0,1,2,3,4
0,0.4413938,0.46092325,0.49288273,0.49741536,0.48622936
1,0.4273144,0.44912046,0.41857058,0.37997046,0.39357919
2,0.7097881,0.742108,0.6887057,0.5827469,0.6838494
3,0.6468719,0.6676757,0.5716017,0.6002563,0.61560404
4,0.6013805,0.6268588,0.60890174,0.541574,0.5707087
5,0.31002545,0.29731372,0.29777777,0.26548356,0.28442246
6,0.23212053,0.3860637,0.4828112,0.38425475,0.38144487
7,0.49957752,0.4600637,0.47794855,0.44666797,0.42504323
8,0.30967045,0.38156703,0.3879211,0.29369026,0.27638245
9,0.28374076,0.31204978,0.35332918,0.2651558,0.2802614
