,0,1,2,3,4
0,0.3152637,0.355544,0.3693413,0.32621288,0.34577525
1,0.2696506,0.2535156,0.26476008,0.21409112,0.21205403
2,0.3156988,0.31434858,0.33664823,0.17637557,0.27423042
3,0.3226817,0.32252878,0.36576837,0.30915266,0.25998875
4,0.32685775,0.34399676,0.3132444,0.23416066,0.2645718
5,0.75031245,0.7440587,0.7211572,0.66067004,0.6259188
6,0.16207464,0.25339115,0.32612962,0.2777034,0.26714194
7,0.37166363,0.32727098,0.3673725,0.31242916,0.37312853
8,0.65223026,0.6477018,0.51811856,0.36025593,0.3185889
9,0.34912392,0.51194,0.5629927,0.46466112,0.46276912
