,0,1,2,3,4
0,0.77432203,0.78575355,0.7784382,0.75705636,0.7570332
1,0.7702908,0.7879896,0.77811605,0.74189925,0.74631643
2,0.77342397,0.7700128,0.74272025,0.70795125,0.7229707
3,0.77249825,0.77337503,0.77201164,0.74253297,0.7417062
4,0.8015315,0.81345594,0.7948142,0.7554856,0.7659296
5,0.7429871,0.76080835,0.7333237,0.7091718,0.7041683
6,0.7021492,0.7379291,0.7901261,0.6931498,0.704114
7,0.9081363,0.9117275,0.86840796,0.83888704,0.8671429
8,0.7420418,0.75297517,0.74335396,0.75982815,0.74511284
9,0.753818,0.74651176,0.7672708,0.7062456,0.70875823
