,0,1,2,3,4
0,0.80792135,0.8159752,0.8130879,0.788828,0.78309727
1,0.80324394,0.821728,0.81165767,0.769126,0.7757658
2,0.81034636,0.80167955,0.7705551,0.7382073,0.7540875
3,0.80916816,0.8060009,0.8062758,0.7736176,0.7730479
4,0.8317417,0.8252759,0.8270213,0.7863466,0.79203385
5,0.76969343,0.78419936,0.7559672,0.7356475,0.7327455
6,0.7350973,0.7717382,0.82394916,0.7236825,0.7382395
7,0.7925346,0.8057637,0.8821132,0.8620404,0.87677693
8,0.7748033,0.77955264,0.77139544,0.7831033,0.766684
9,0.79253113,0.78426194,0.79275244,0.7324401,0.7382534
