,0,1,2,3,4
0,0.8144213,0.8215651,0.81473356,0.82941234,0.8267722
1,0.81667614,0.81063974,0.8061112,0.78351814,0.7601842
2,0.81295913,0.81951797,0.78573745,0.74495465,0.75301397
3,0.81446683,0.8223594,0.8130378,0.7818786,0.76829267
4,0.80745804,0.8146494,0.78927946,0.74980295,0.75313073
5,0.91615087,0.9072212,0.8980154,0.89025956,0.8815246
6,0.73419785,0.7507346,0.80097353,0.7700827,0.74860144
7,0.7693508,0.754713,0.7974061,0.78866917,0.8052521
8,0.880943,0.8705093,0.83100057,0.8072105,0.79590017
9,0.82276464,0.8471462,0.8457895,0.84055007,0.8470316
