,0,1,2,3,4
0,0.43508556,0.43380287,0.37381634,0.40753135,0.40127647
1,0.46527693,0.52889955,0.52576846,0.4420338,0.50271195
2,0.54314643,0.5914844,0.47422606,0.4384694,0.5143314
3,0.5623207,0.604381,0.47388422,0.50189626,0.5167341
4,0.7000731,0.69573975,0.66385764,0.6069107,0.66897464
5,0.24868245,0.19817542,0.25614047,0.20180626,0.2154362
6,0.18444577,0.41280302,0.43637353,0.35650063,0.35610604
7,0.49248755,0.43807054,0.4871411,0.42202747,0.44346595
8,0.25815293,0.300897,0.31819192,0.2137513,0.18970892
9,0.26127285,0.27220637,0.3330941,0.26546726,0.23707862
