,0,1,2,3,4
0,0.36763847,0.39893085,0.38002232,0.39301804,0.38743702
1,0.36641955,0.41302246,0.40119302,0.3511391,0.38103122
2,0.5898738,0.60645664,0.51484376,0.39927173,0.52548724
3,0.71668315,0.7483139,0.6249672,0.6624697,0.6586442
4,0.53404504,0.5381464,0.55509627,0.4673543,0.48881084
5,0.26060104,0.23430774,0.2773364,0.19696285,0.2029277
6,0.21613425,0.3879987,0.46452978,0.36127865,0.36983526
7,0.3771094,0.35653028,0.38375425,0.38600224,0.39141163
8,0.23056732,0.32277298,0.35646358,0.22262006,0.2055157
9,0.24218795,0.26631072,0.2903102,0.2167321,0.21049175
